ID,Road,Speed,Occlusion
1,Straight,Low,1
1,Straight,Low,1
1,Straight,Low,1
1,Straight,Low,1
1,Straight,Low,1
1,Straight,Low,1
1,Straight,Low,1
1,Straight,Low,1
1,Straight,Low,1
1,Straight,Low,1
1,Straight,Low,1
1,Straight,Low,1
1,Straight,Low,1
1,Straight,Low,1
1,Straight,Low,1
1,Straight,Low,1
1,Straight,Low,1
1,Straight,Low,1
1,Straight,Low,1
1,Straight,Low,1
1,Straight,Low,1
1,Straight,Low,1
1,Straight,Low,1
1,Straight,Low,1
1,Straight,Low,1
1,Straight,Low,1
1,Straight,Low,1
1,Straight,Low,1
1,Straight,Low,1
1,Straight,Low,1
1,Straight,Low,1
1,Straight,Low,1
1,Straight,Low,1
1,Straight,Low,1
2,Straight,Low,1
2,Straight,Low,1
2,Straight,Low,1
2,Straight,Low,1
2,Straight,Low,1
2,Straight,Low,1
2,Straight,Low,1
2,Straight,Low,1
2,Straight,Low,1
2,Straight,Low,1
2,Straight,Low,1
2,Straight,Low,1
2,Straight,Low,1
2,Straight,Low,1
2,Straight,Low,1
2,Straight,Low,1
2,Straight,Low,1
2,Straight,Low,1
2,Straight,Low,1
2,Straight,Low,1
2,Straight,Low,1
2,Straight,Low,1
2,Straight,Low,1
2,Straight,Low,1
2,Straight,Low,1
2,Straight,Low,1
2,Straight,Low,1
2,Straight,Low,1
2,Straight,Low,1
2,Straight,Low,1
2,Straight,Low,1
2,Straight,Low,1
2,Straight,Low,1
3,Straight,Low,1
3,Straight,Low,1
3,Straight,Low,1
3,Straight,Low,1
3,Straight,Low,1
3,Straight,Low,1
3,Straight,Low,1
3,Straight,Low,1
3,Straight,Low,1
3,Straight,Low,1
3,Straight,Low,1
3,Straight,Low,1
3,Straight,Low,1
3,Straight,Low,1
3,Straight,Low,1
3,Straight,Low,1
3,Straight,Low,1
3,Straight,Low,1
3,Straight,Low,1
3,Straight,Low,1
3,Straight,Low,1
3,Straight,Low,1
3,Straight,Low,1
3,Straight,Low,1
3,Straight,Low,1
3,Straight,Low,1
3,Straight,Low,1
3,Straight,Low,1
3,Straight,Low,1
3,Straight,Low,1
3,Straight,Low,1
3,Straight,Low,1
3,Straight,Low,1
3,Straight,Low,1
3,Straight,Low,1
3,Straight,Low,1
3,Straight,Low,1
3,Straight,Low,1
3,Straight,Low,1
3,Straight,Low,1
3,Straight,Low,1
3,Straight,Low,1
3,Straight,Low,1
3,Straight,Low,1
3,Straight,Low,1
3,Straight,Low,1
3,Straight,Low,1
3,Straight,Low,1
3,Straight,Low,1
3,Straight,Low,1
3,Straight,Low,1
3,Straight,Low,1
3,Straight,Low,1
3,Straight,Low,1
3,Straight,Low,1
3,Straight,Low,1
3,Straight,Low,1
3,Straight,Low,1
3,Straight,Low,1
3,Straight,Low,1
3,Straight,Low,1
3,Straight,Low,1
3,Straight,Low,1
3,Straight,Low,1
3,Straight,Low,1
3,Straight,Low,1
3,Straight,Low,1
3,Straight,Low,1
3,Straight,Low,1
3,Straight,Low,1
3,Straight,Low,1
3,Straight,Low,1
3,Straight,Low,1
3,Straight,Low,1
3,Straight,Low,1
3,Straight,Low,1
3,Straight,Low,1
3,Straight,Low,1
3,Straight,Low,1
3,Straight,Low,1
3,Straight,Low,1
3,Straight,Low,1
3,Straight,Low,1
4,Straight,Low,1
4,Straight,Low,1
4,Straight,Low,1
4,Straight,Low,1
4,Straight,Low,1
4,Straight,Low,1
4,Straight,Low,1
4,Straight,Low,1
4,Straight,Low,1
4,Straight,Low,1
4,Straight,Low,1
4,Straight,Low,1
4,Straight,Low,1
4,Straight,Low,1
4,Straight,Low,1
4,Straight,Low,1
4,Straight,Low,1
4,Straight,Low,1
4,Straight,Low,1
4,Straight,Low,1
4,Straight,Low,1
4,Straight,Low,1
4,Straight,Low,1
4,Straight,Low,1
4,Straight,Low,1
4,Straight,Low,1
4,Straight,Low,1
4,Straight,Low,1
4,Straight,Low,1
4,Straight,Low,1
4,Straight,Low,1
4,Straight,Low,1
4,Straight,Low,1
4,Straight,Low,1
4,Straight,Low,1
4,Straight,Low,1
4,Straight,Low,1
4,Straight,Low,1
4,Straight,Low,1
4,Straight,Low,1
4,Straight,Low,1
4,Straight,Low,1
4,Straight,Low,1
4,Straight,Low,1
4,Straight,Low,1
4,Straight,Low,1
4,Straight,Low,1
4,Straight,Low,1
4,Straight,Low,1
4,Straight,Low,1
5,Straight,Low,1
5,Straight,Low,1
5,Straight,Low,1
5,Straight,Low,1
5,Straight,Low,1
5,Straight,Low,1
5,Straight,Low,1
5,Straight,Low,1
5,Straight,Low,1
5,Straight,Low,1
5,Straight,Low,1
5,Straight,Low,1
5,Straight,Low,1
5,Straight,Low,1
5,Straight,Low,1
5,Straight,Low,1
5,Straight,Low,1
5,Straight,Low,1
5,Straight,Low,1
5,Straight,Low,1
5,Straight,Low,1
5,Straight,Low,1
5,Straight,Low,1
5,Straight,Low,0
5,Straight,Low,1
5,Straight,Low,1
5,Straight,Low,1
5,Straight,Low,1
5,Straight,Low,1
5,Straight,Low,1
5,Straight,Low,1
5,Straight,Low,1
5,Straight,Low,1
5,Straight,Low,1
5,Straight,Low,1
5,Straight,Low,1
5,Straight,Low,1
5,Straight,Low,1
5,Straight,Low,1
6,Straight,Low,1
6,Straight,Low,1
6,Straight,Low,1
6,Straight,Low,1
6,Straight,Low,1
6,Straight,Low,1
6,Straight,Low,1
6,Straight,Low,1
6,Straight,Low,1
6,Straight,Low,1
6,Straight,Low,1
6,Straight,Low,1
6,Straight,Low,1
6,Straight,Low,1
6,Straight,Low,1
6,Straight,Low,1
6,Straight,Low,1
6,Straight,Low,1
6,Straight,Low,1
6,Straight,Low,1
6,Straight,Low,1
6,Straight,Low,1
6,Straight,Low,1
6,Straight,Low,0
6,Straight,Low,1
6,Straight,Low,1
6,Straight,Low,1
6,Straight,Low,1
6,Straight,Low,1
6,Straight,Low,1
6,Straight,Low,1
6,Straight,Low,1
6,Straight,Low,1
6,Straight,Low,1
6,Straight,Low,1
6,Straight,Low,1
6,Straight,Low,1
6,Straight,Low,1
6,Straight,Low,1
6,Straight,Low,1
6,Straight,Low,1
6,Straight,Low,1
6,Straight,Low,1
6,Straight,Low,1
6,Straight,Low,1
6,Straight,Low,1
6,Straight,Low,1
6,Straight,Low,1
6,Straight,Low,1
6,Straight,Low,1
6,Straight,Low,1
6,Straight,Low,1
6,Straight,Low,1
7,Straight,Low,1
7,Straight,Low,1
7,Straight,Low,1
7,Straight,Low,1
