t,id,drive,speed.kmh,occ_nr,x,y,yaw,steer,off,speed,leftTLC,rightTLC,report,OT.or.duration,OTTLC,true.TLC,FADE1.leftTLC,FADE1.rightTLC,FADE1.off,FADE1.TLC.min,FADE0.TLC.min,steer.ampl,steer.min,steer.max,steer.avg,steer.sd,offset.min,offset.max,offset.avg,offset.sd,steer.ampl.360,filter_$,lane.cross,lane.cross.copy,id2,total.search.time,fade1.tlc.min.abs,fade1.off.abs,OT.mean,drive.copy,drive.0
104.288857,P01,9,100,30,9758.755859,2308.47583,-94.732941,.011566,.271951,27.7781,6.8,8.3,"{""type"":""M"",""msg"":""FADE0"",""time"":104.212,""dist"":2.7404}",.512153999999995,7.312154,0,7.8,9.3,.937776,7.8,6.8,.000325000000000001,.011241,.011566,.0114575,.000132762570026345,.271951,.937776,.5935575,.24892601436471,.117,1, ,0,P01,72.39933332,7.8, ,1.87783157894737,9,9
105.305344,P01,9,100,31,9756.720703,2280.305908,-93.282272,.012054,-.511344,27.7776,4.7,6.2,"{""type"":""M"",""msg"":""FADE0"",""time"":105.221,""dist"":2.76845}",.509789000000012,5.20978900000001,0,4.9,6.3,-.217767,4.9,4.7,.003052,.012054,.015106,.0130173333333333,.00111758769976529,-.511344,-.217767,-.378248166666667,.110606856204155,1.09872,1, ,0,P01,72.39933332,4.9, ,1.87783157894737,9,9
110.479179,P01,9,100,32,9753.401367,2136.598145,-90.424164,.003143,.217162,27.7788,-2.129394,-.914299,"{""type"":""M"",""msg"":""FADE0"",""time"":110.441,""dist"":2.91348}",4.666999,2.537605,2.537605,3.8,5.2,-.6133,3.8,-2.129394,.013763,-.000854,.012909,.00414912765957447,.00353770634129824,-1.853493,1.769655,-.119474191489362,.903239141675829,4.95468,1,1,1,P01,72.39933332,3.8,.6133,1.87783157894737,9,9
111.794754,P01,9,100,33,9752.581055,2100.063721,-93.537476,-.015299,1.663719,27.7728,-3.444969,-2.229874,"{""type"":""M"",""msg"":""FADE0"",""time"":111.732,""dist"":2.94937}",.810592999999997,-2.634376,0,-2.634376,-1.419281,1.016796,-2.634376,-3.444969,.022539,-.037838,-.015299,-.0289685555555556,.00862867646442824,1.016796,1.663719,1.42766366666667,.227406506239927,8.11404,1,1,1,P01,72.39933332,2.634376,1.016796,1.87783157894737,9,9
113.71946,P01,9,100,35,9747.337891,2046.859985,-98.104362,-.008423,.052076,27.7781,-5.369675,-4.15458,"{""type"":""M"",""msg"":""FADE0"",""time"":113.669,""dist"":3.00318}",.506858999999992,-4.86281600000001,0,-4.862816,-3.647721,.884661,-4.862816,-5.369675,.014209,-.022632,-.008423,-.0167758333333333,.00532874955000389,.052076,.884661,.483755666666667,.312431527510696,5.11524,1, ,0,P01,72.39933332,4.862816, ,1.87783157894737,9,9
114.53083,P01,9,100,36,9744.105469,2024.547241,-98.265297,.003143,-1.486794,27.7802,-6.181045,4.4,"{""type"":""M"",""msg"":""FADE0"",""time"":114.503,""dist"":3.02635}",.303626999999992,-5.87741800000001,0,-5.877418,-4.662323,-.913589,-5.877418,-6.181045,.003469,-.000326,.003143,.00191725,.00154457855632747,-1.486794,-.913589,-1.20175925,.246522077669019,1.24884,1,1,1,P01,72.39933332,5.877418,.913589,1.87783157894737,9,9
118.2883,P01,9,100,38,9732.422852,1920.808228,-96.364655,-.007568,-.629767,27.7779,4.4,1.4,"{""type"":""M"",""msg"":""FADE0"",""time"":118.284,""dist"":3.13143}",2.03365400000001,3.43365400000001,0,4.5,6.2,.111602,4.5,1.4,.01946,-.007568,.011892,-.00161061904761905,.00607907813304115,-.629767,.111602,-.251348761904762,.209691139768447,7.0056,1, ,0,P01,72.39933332,4.5, ,1.87783157894737,9,9
120.837273,P01,9,100,39,9726.151367,1850.274414,-93.7155,-.000854,.105261,27.7786,1.7,4.1,"{""type"":""M"",""msg"":""FADE0"",""time"":120.791,""dist"":3.20109}",2.039025,3.739025,0,4.4,5.5,-.927196,4.4,1.7,.024532,-.000854,.023678,.0111452380952381,.00744652075069131,-1.045307,.105261,-.674031476190476,.375649680629655,8.83152,1, ,0,P01,72.39933332,4.4, ,1.87783157894737,9,9
122.056053,P01,9,100,40,9723.539063,1816.512451,-95.330292,-.007406,1.144825,27.7777,0,12.1,"{""type"":""M"",""msg"":""FADE0"",""time"":122.018,""dist"":3.23518}",.711922000000001,.711922000000001,.711922000000001,7.3,6,.656435,6,0,.012248,-.019491,-.007243,-.01253775,.00536261955577682,.656435,1.144825,.92535875,.170140167565914,4.40928,1,1,1,P01,72.39933332,6,.656435,1.87783157894737,9,9
124.690468,P01,9,100,43,9714.839844,1743.83728,-97.51136,.000854,1.027736,27.7786,3.6,8.7,"{""type"":""M"",""msg"":""FADE0"",""time"":124.665,""dist"":3.30873}",.302749999999989,3.90274999999999,0,3.9,9.1,1.086273,3.9,3.6,0,.000854,.000854,.000854,0,1.027736,1.086273,1.05562625,.025212547767266,0,1, ,0,P01,72.39933332,3.9, ,1.87783157894737,9,9
125.60228,P01,9,100,44,9711.512695,1718.720947,-97.713287,-.004028,.933288,27.778,22.1,14.4,"{""type"":""M"",""msg"":""FADE0"",""time"":125.531,""dist"":3.3328}",.401764,14.801764,0,3.7,9.4,.965389,3.7,14.4,.005371,-.005534,-.000163,-.0034586,.00227713576670343,.933288,.965389,.9493682,.0125514692247561,1.93356,1, ,0,P01,72.39933332,3.7, ,1.87783157894737,9,9
126.518112,P01,9,100,45,9708.029297,1693.513306,-97.978012,-.00236,.847974,27.7777,9.4,17.5,"{""type"":""M"",""msg"":""FADE0"",""time"":126.445,""dist"":3.3582}",.406860000000009,9.80686000000001,0,5.2,11.4,.879272,5.2,9.4,.001506,-.00236,-.000854,-.0014158,.000630804407086698,.847974,.879272,.862519,.0123694845082566,.54216,1, ,0,P01,72.39933332,5.2, ,1.87783157894737,9,9
