id,car,task,order,attentive_percentage,inattentive_percentage,eyeglasses,age,gender,dr_lic_years,annual_km,lifetime_km,VST1,VST2,VST3,VST_avg,tasks,zero_tasks,inattentiveness_ratio,Zorder,Ztasks,Zdr_lic_years,Zage,Zinattentiveness_ratio
EV9P01,EV9,ac_suunta,4,95.5036994877632,4.49630051223677,2,23,2,5,5000,60000,30,28,33,30.33,5,0,1.87470715134434,-.521749194749952,-.555253432834914,-1.12415470396941,-1.21136495168461,.106771307323016
EV9P01,EV9,ac_temp,1,99.0296803652968,.970319634703196,2,23,2,5,5000,60000,30,28,33,30.33,14,0,.672047007143909,-1.56524758424985,.490283833177361,-1.12415470396941,-1.21136495168461,-.705637358789387
EV9P01,EV9,ajotila,2,97.2143263217737,2.78567367822626,2,23,2,5,5000,60000,30,28,33,30.33,17,0,1.29123753357849,-1.21741478774989,.838796255181453,-1.12415470396941,-1.21136495168461,-.287368114501266
EV9P01,EV9,a_baseline, ,98.0681818181818,1.93181818181818,2,23,2,5,5000,60000,30,28,33,30.33, ,0, , , ,-1.12415470396941,-1.21136495168461, 
EV9P01,EV9,kirkkaus,6,97.2727272727273,2.72727272727273,2,23,2,5,5000,60000,30,28,33,30.33,14,0,1.27131782937852,.173916398249983,.490283833177361,-1.12415470396941,-1.21136495168461,-.300824069116949
EV9P01,EV9,lane,9,96.8127490039841,3.18725099601594,2,23,2,5,5000,60000,30,28,33,30.33,8,0,1.42820964196338,1.21741478774988,-.206741010830822,-1.12415470396941,-1.21136495168461,-.194842118354993
EV9P01,EV9,latausasema,3,99.1408934707904,.859106529209622,2,23,2,5,5000,60000,30,28,33,30.33,3,0,.634113854884887,-.869581991249919,-.787595047504308,-1.12415470396941,-1.21136495168461,-.731261573391325
EV9P01,EV9,navi,7,96.8361581920904,3.1638418079096,2,23,2,5,5000,60000,30,28,33,30.33,4,0,1.42022511268729,.52174919474995,-.671424240169611,-1.12415470396941,-1.21136495168461,-.200235745814919
EV9P01,EV9,puhelu,8,97.0353477765108,2.96465222348917,2,23,2,5,5000,60000,30,28,33,30.33,9,0,1.35228447924578,.869581991249917,-.0905702034961249,-1.12415470396941,-1.21136495168461,-.246130306847163
EV9P01,EV9,radio,5,97.1639251276234,2.83607487237663,2,23,2,5,5000,60000,30,28,33,30.33,5,0,1.30842863855895,-.173916398249985,-.555253432834914,-1.12415470396941,-1.21136495168461,-.275755355291178
EV9P01,EV9,seat,10,96.7222222222222,3.27777777777778,2,23,2,5,5000,60000,30,28,33,30.33,33,0,1.45908699388023,1.56524758424985,2.69752917253661,-1.12415470396941,-1.21136495168461,-.173984165753154
